V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20
0,44481;0,23609;0,2245;0,27567;0,2774;0,45643;0,46273;0,2532;0,25853;0,39854;0,43494;0,14547;0,2259;0,44015;0,45147;0,48133;0,48535;0,4627;0,4706;0
0,45724;0,15679;0,2361;0,24163;0,2757;0,52863;0,45643;0,31384;0,2532;0,47546;0,39854;0,25357;0,14547;0,51884;0,44015;0,47669;0,48133;0,45604;0,4627;0
0,45749;0,09592;0,1568;0,22931;0,2416;0,57181;0,52863;0,38955;0,31384;0,47823;0,47546;0,25306;0,25357;0,5882;0,51884;0,47366;0,47669;0,45225;0,45604;0
0,44481;0,08391;0,0959;0,2185;0,2293;0,5916;0,57181;0,46916;0,38955;0,41971;0,47823;0,14809;0,25306;0,59992;0,5882;0,47007;0,47366;0,44905;0,45225;0
0,45293;0,06747;0,0839;0,17404;0,2185;0,60301;0,5916;0,47981;0,46916;0,48096;0,41971;0,23863;0,14809;0,58181;0,59992;0,46582;0,47007;0,45146;0,44905;0
0,42943;0,12991;0,0675;0,16309;0,174;0,50508;0,60301;0,37764;0,47981;0,44034;0,48096;0,22647;0,23863;0,51258;0,58181;0,46177;0,46582;0,44838;0,45146;0
0,42623;0,15449;0,1299;0,14591;0,1631;0,4957;0,50508;0,34618;0,37764;0,45817;0,44034;0,34208;0,22647;0,49341;0,51258;0,45756;0,46177;0,44218;0,44838;0
0,39818;0,23649;0,1545;0,16352;0,1459;0,45366;0,4957;0,3092;0,34618;0,49617;0,45817;0,48903;0,34208;0,44788;0,49341;0,45263;0,45756;0,43032;0,44218;0
0,3903;0,2858;0,2365;0,20114;0,1635;0,41014;0,45366;0,27635;0,3092;0,43801;0,49617;0,44715;0,48903;0,40833;0,44788;0,4498;0,45263;0,41942;0,43032;0
0,35708;0,33416;0,2858;0,26211;0,2011;0,3833;0,41014;0,3187;0,27635;0,39843;0,43801;0,45357;0,44715;0,38224;0,40833;0,44404;0,4498;0,40025;0,41942;0
0,36852;0,30431;0,3342;0,29635;0,2621;0,42324;0,3833;0,34828;0,3187;0,44611;0,39843;0,52454;0,45357;0,40833;0,38224;0,43937;0,44404;0,38806;0,40025;1
0,38981;0,19259;0,3043;0,3108;0,2964;0,55796;0,42324;0,45441;0,34828;0,47408;0,44611;0,55279;0,52454;0,53601;0,40833;0,43658;0,43937;0,38078;0,38806;1
0,36668;0,16554;0,1926;0,33682;0,3108;0,51616;0,55796;0,45553;0,45441;0,43947;0,47408;0,48556;0,55279;0,56198;0,53601;0,43236;0,43658;0,37448;0,38078;1
0,39092;0,16744;0,1655;0,34439;0,3368;0,67376;0,51616;0,56659;0,45553;0,45572;0,43947;0,52112;0,48556;0,64891;0,56198;0,42951;0,43236;0,3746;0,37448;1
0,43965;0,33275;0,1674;0,33848;0,3444;0,77595;0,67376;0,60382;0,56659;0,50326;0,45572;0,47785;0,52112;0,73279;0,64891;0,42836;0,42951;0,39112;0,3746;1
0,39609;0,30007;0,3327;0,32386;0,3385;0,59805;0,77595;0,41577;0,60382;0,41658;0,50326;0,38754;0,47785;0,67022;0,73279;0,42394;0,42836;0,39663;0,39112;1
0,43386;0,34774;0,3001;0,29558;0,3239;0,76517;0,59805;0,5411;0,41577;0,50685;0,41658;0,47184;0,38754;0,72866;0,67022;0,42111;0,42394;0,40544;0,39663;1
0,43805;0,2714;0,3477;0,27631;0,2956;0,70992;0,76517;0,41335;0,5411;0,54131;0,50685;0,49843;0,47184;0,67341;0,72866;0,41919;0,42111;0,41971;0,40544;1
0,45576;0,24838;0,2714;0,27353;0,2763;0,62484;0,70992;0,30177;0,41335;0,60701;0,54131;0,57721;0,49843;0,65797;0,67341;0,41894;0,41919;0,43268;0,41971;1
0,46832;0,30968;0,2484;0,28677;0,2735;0,77858;0,62484;0,49979;0,30177;0,62204;0,60701;0,61708;0,57721;0,75769;0,65797;0,42031;0,41894;0,43842;0,43268;0
0,45355;0,15561;0,3097;0,29013;0,2868;0,6346;0,77858;0,31398;0,49979;0,57457;0,62204;0,5209;0,61708;0,65304;0,75769;0,42075;0,42031;0,44991;0,43842;0
0,45663;0,11907;0,1556;0,28983;0,2901;0,63156;0,6346;0,34501;0,31398;0,57951;0,57457;0,52256;0,5209;0,6155;0,65304;0,42071;0,42075;0,45446;0,44991;0
0,46364;0,06566;0,1191;0,29307;0,2898;0,60232;0,63156;0,37829;0,34501;0,61388;0,57951;0,59432;0,52256;0,58208;0,6155;0,42102;0,42071;0,45958;0,45446;0
0,44395;0,10283;0,0657;0,29281;0,2931;0,51452;0,60232;0,23451;0,37829;0,56534;0,61388;0,50956;0,59432;0,53588;0,58208;0,42098;0,42102;0,45722;0,45958;0
0,45527;0,07613;0,1028;0,29383;0,2928;0,58556;0,51452;0,36244;0,23451;0,62617;0,56534;0,58777;0,50956;0,5677;0,53588;0,4211;0,42098;0,45461;0,45722;0
0,449;0,08128;0,0761;0,29835;0,2938;0,56007;0,58556;0,34901;0,36244;0,6208;0,62617;0,56982;0,58777;0,55212;0,5677;0,42207;0,4211;0,4537;0,45461;0
0,44531;0,08792;0,0813;0,30161;0,2983;0,53092;0,56007;0,34904;0,34901;0,66357;0,6208;0,57328;0,56982;0,54347;0,55212;0,42303;0,42207;0,45143;0,4537;0
0,45392;0,05261;0,0879;0,30278;0,3016;0,60805;0,53092;0,44785;0,34904;0,69252;0,66357;0,64066;0,57328;0,58847;0,54347;0,42582;0,42303;0,44949;0,45143;0
0,4111;0,20408;0,0526;0,29586;0,3028;0,46047;0,60805;0,31688;0,44785;0,67593;0,69252;0,65873;0,64066;0,48742;0,58847;0,42685;0,42582;0,44292;0,44949;0
0,378;0,36675;0,2041;0,27901;0,2959;0,38727;0,46047;0,28825;0,31688;0,59764;0,67593;0,56134;0,65873;0,38703;0,48742;0,4279;0,42685;0,42746;0,44292;0
0,37357;0,4206;0,3667;0,27501;0,279;0,38521;0,38727;0,3044;0,28825;0,55254;0,59764;0,50503;0,56134;0,3403;0,38703;0,42815;0,4279;0,41238;0,42746;0
0,34478;0,47396;0,4206;0,31061;0,275;0,28337;0,38521;0,19752;0,3044;0,54255;0,55254;0,52407;0,50503;0,30089;0,3403;0,4259;0,42815;0,39227;0,41238;0
0,35019;0,29768;0,474;0,32418;0,3106;0,41432;0,28337;0,36404;0,19752;0,50962;0,54255;0,48618;0,52407;0,40993;0,30089;0,42508;0,4259;0,37153;0,39227;0
0,33949;0,19516;0,2977;0,35872;0,3242;0,47529;0,41432;0,44473;0,36404;0,40608;0,50962;0,3701;0,48618;0,46905;0,40993;0,42251;0,42508;0,3572;0,37153;0
0,33653;0,16403;0,1952;0,3931;0,3587;0,47931;0,47529;0,44839;0,44473;0,47666;0,40608;0,49101;0,3701;0,49181;0,46905;0,41735;0,42251;0,34891;0,3572;0
0,33579;0,0645;0,164;0,42227;0,3931;0,55618;0,47931;0,55641;0,44839;0,40966;0,47666;0,3701;0,49101;0,54347;0,49181;0,41433;0,41735;0,34136;0,34891;0
0,33284;0,07176;0,0645;0,44846;0,4223;0,53321;0,55618;0,46326;0,55641;0,39725;0,40966;0,33428;0,3701;0,53615;0,54347;0,40928;0,41433;0,33897;0,34136;0
0,34256;0,03739;0,0718;0,46229;0,4485;0,58932;0,53321;0,46022;0,46326;0,38353;0,39725;0,27388;0,33428;0,58035;0,53615;0,40451;0,40928;0,33744;0,33897;0
0,32903;0,05216;0,0374;0,47195;0,4623;0,56022;0,58932;0,44033;0,46022;0,33825;0,38353;0,22792;0,27388;0,56877;0,58035;0,39817;0,40451;0,33535;0,33744;0
0,34416;0,06841;0,0522;0,46011;0,4719;0,60387;0,56022;0,42033;0,44033;0,39016;0,33825;0,30355;0,22792;0,59167;0,56877;0,39197;0,39817;0,33688;0,33535;0
0,33985;0,06939;0,0684;0,4526;0,4601;0,60015;0,60387;0,43189;0,42033;0,37732;0,39016;0,28998;0,30355;0,59459;0,59167;0,38628;0,39197;0,33769;0,33688;0
0,37;0,1683;0,0694;0,42985;0,4526;0,65627;0,60015;0,43183;0,43189;0,41776;0,37732;0,29484;0,28998;0,64878;0,59459;0,38195;0,38628;0,34512;0,33769;0
0,37628;0,22802;0,1683;0,39622;0,4299;0,71085;0,65627;0,48198;0,43183;0,46285;0,41776;0,36623;0,29484;0,7079;0,64878;0,37758;0,38195;0,35186;0,34512;0
0,37025;0,1875;0,228;0,37252;0,3962;0,65254;0,71085;0,42088;0,48198;0,43268;0,46285;0,29692;0,36623;0,67355;0,7079;0,3739;0,37758;0,36011;0,35186;0
