V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21
0,69238;0,14082;0,0954;0,12897;0,1249;0,49304;0,46401;0,60434;0,56817;0,55068;0,45423;0,81483;0,68889;0,54483;0,50910;0,67054;0,66922;0,66439;0,65534;0;0
0,69462;0,13629;0,1408;0,10295;0,1290;0,48577;0,49304;0,57291;0,60434;0,50989;0,55068;0,70979;0,81483;0,54126;0,54483;0,67457;0,67054;0,67480;0,66439;0;0
0,69462;0,10098;0,1363;0,09595;0,1030;0,47044;0,48577;0,54267;0,57291;0,48137;0,50989;0,54377;0,70979;0,51365;0,54126;0,67715;0,67457;0,68395;0,67480;0;0
0,68700;0,02734;0,1010;0,09429;0,0960;0,41482;0,47044;0,43430;0,54267;0,43794;0,48137;0,41895;0,54377;0,46036;0,51365;0,67841;0,67715;0,68987;0,68395;0;0
0,67489;0,04467;0,0273;0,09417;0,0943;0,37212;0,41482;0,38168;0,43430;0,41828;0,43794;0,38311;0,41895;0,41878;0,46036;0,67800;0,67841;0,68870;0,68987;0;0
0,64978;0,12242;0,0447;0,10105;0,0942;0,32299;0,37212;0,35094;0,38168;0,34643;0,41828;0,30453;0,38311;0,37037;0,41878;0,67630;0,67800;0,68018;0,68870;0;0
0,69283;0,11997;0,1224;0,09487;0,1011;0,40032;0,32299;0,41894;0,35094;0,38847;0,34643;0,32119;0,30453;0,42008;0,37037;0,67563;0,67630;0,67982;0,68018;0;0
0,74439;0,24033;0,1200;0,11890;0,0949;0,50666;0,40032;0,53786;0,41894;0,56551;0,38847;0,50465;0,32119;0,54581;0,42008;0,67677;0,67563;0,68978;0,67982;0;0
0,75381;0,31492;0,2403;0,15841;0,1189;0,54536;0,50666;0,59771;0,53786;0,57704;0,56551;0,52488;0,50465;0,63255;0,54581;0,68166;0,67677;0,70314;0,68978;0;0
0,78969;0,39030;0,3149;0,22288;0,1584;0,65507;0,54536;0,71457;0,59771;0,60208;0,57704;0,57241;0,52488;0,69656;0,63255;0,68825;0,68166;0,72610;0,70314;0;0
0,70583;0,27091;0,3903;0,22369;0,2229;0,42690;0,65507;0,48994;0,71457;0,45964;0,60208;0,43358;0,57241;0,50130;0,69656;0,68969;0,68825;0,73731;0,72610;0;0
0,71794;0,22617;0,2709;0,22784;0,2237;0,35606;0,42690;0,35992;0,48994;0,46777;0,45964;0,43864;0,43358;0,37654;0,50130;0,69121;0,68969;0,74233;0,73731;1;0
0,71525;0,24149;0,2262;0,23084;0,2278;0,33435;0,35606;0,31565;0,35992;0,48406;0,46777;0,47853;0,43864;0,34178;0,37654;0,69226;0,69121;0,73650;0,74233;1;0
0,70404;0,24828;0,2415;0,23072;0,2308;0,24999;0,33435;0,17367;0,31565;0,47593;0,48406;0,48562;0,47853;0,33236;0,34178;0,69343;0,69226;0,72655;0,73650;1;0
0,71614;0,03047;0,2483;0,23120;0,2307;0,42206;0,24999;0,46686;0,17367;0,53635;0,47593;0,57764;0,48562;0,45452;0,33236;0,69549;0,69343;0,71184;0,72655;1;0
0,70314;0,03569;0,0305;0,21756;0,2312;0,37697;0,42206;0,48578;0,46686;0,52347;0,53635;0,57462;0,57764;0,42885;0,45452;0,69830;0,69549;0,71130;0,71184;1;0
0,69731;0,04375;0,0357;0,19835;0,2176;0,37133;0,37697;0,49760;0,48578;0,50513;0,52347;0,56451;0,57462;0,42300;0,42885;0,70103;0,69830;0,70717;0,71130;1;0
0,69058;0,05304;0,0437;0,18130;0,1984;0,37938;0,37133;0,56563;0,49760;0,48205;0,50513;0,56856;0,56451;0,41650;0,42300;0,70312;0,70103;0,70224;0,70717;1;0
0,69103;0,06124;0,0530;0,16788;0,1813;0,35845;0,37938;0,42369;0,56563;0,44744;0,48205;0,51648;0,56856;0,40416;0,41650;0,70480;0,70312;0,69964;0,70224;1;0
0,71704;0,06385;0,0612;0,16443;0,1679;0,42851;0,35845;0,50828;0,42369;0,46913;0,44744;0,46087;0,51648;0,46524;0,40416;0,70661;0,70480;0,69982;0,69964;1;0
0,71300;0,07522;0,0639;0,16314;0,1644;0,43173;0,42851;0,51479;0,50828;0,45964;0,46913;0,48413;0,46087;0,49155;0,46524;0,70765;0,70661;0,70179;0,69982;1;0
0,69372;0,07833;0,0752;0,16331;0,1631;0,40918;0,43173;0,49231;0,51479;0,43048;0,45964;0,48365;0,48413;0,47011;0,49155;0,70760;0,70765;0,70108;0,70179;1;0
0,66547;0,13549;0,0783;0,17407;0,1633;0,35762;0,40918;0,46980;0,49231;0,39929;0,43048;0,49274;0,48365;0,39571;0,47011;0,70614;0,70760;0,69605;0,70108;1;0
0,64709;0,20780;0,1355;0,19374;0,1741;0,27794;0,35762;0,35984;0,46980;0,38979;0,39929;0,50031;0,49274;0,31384;0,39571;0,70415;0,70614;0,68726;0,69605;1;0
0,63363;0,22540;0,2078;0,21775;0,1937;0,26102;0,27794;0,34505;0,35984;0,40741;0,38979;0,56702;0,50031;0,30084;0,31384;0,70209;0,70415;0,67058;0,68726;1;0
0,62197;0,19212;0,2254;0,23786;0,2178;0,27466;0,26102;0,37160;0,34505;0,32471;0,40741;0,47400;0,56702;0,32261;0,30084;0,70070;0,70209;0,65238;0,67058;1;0
0,63946;0,10324;0,1921;0,25624;0,2379;0,35679;0,27466;0,46980;0,37160;0,27335;0,32471;0,30423;0,47400;0,39376;0,32261;0,69803;0,70070;0,64152;0,65238;1;0
0,65022;0,06657;0,1032;0,25468;0,2562;0,40918;0,35679;0,56695;0,46980;0,27541;0,27335;0,29722;0,30423;0,45841;0,39376;0,69332;0,69803;0,63848;0,64152;1;0
0,62646;0,06534;0,0666;0,25468;0,2547;0,39064;0,40918;0,56577;0,56695;0,18552;0,27541;0,21185;0,29722;0,45971;0,45841;0,68695;0,69332;0,63435;0,63848;1;0
0,62242;0,07455;0,0653;0,21251;0,2547;0,40435;0,39064;0,56581;0,56577;0,30576;0,18552;0,40692;0,21185;0,44087;0,45971;0,67859;0,68695;0,63211;0,63435;1;0
0,63004;0,06577;0,0746;0,22013;0,2125;0,38661;0,40435;0,49232;0,56581;0,29902;0,30576;0,39585;0,40692;0,41585;0,44087;0,67480;0,67859;0,63372;0,63211;1;0
0,63229;0,06228;0,0658;0,21773;0,2201;0,37129;0,38661;0,44258;0,49232;0,30646;0,29902;0,38930;0,39585;0,42625;0,41585;0,67052;0,67480;0,63229;0,63372;1;0
0,59641;0,09064;0,0623;0,23322;0,2177;0,34950;0,37129;0,44019;0,44258;0,26915;0,30646;0,36756;0,38930;0,41326;0,42625;0,66457;0,67052;0,62152;0,63229;1;0
0,58117;0,15029;0,0906;0,25744;0,2332;0,32933;0,34950;0,41530;0,44019;0,22785;0,26915;0,29199;0,36756;0,36550;0,41326;0,65843;0,66457;0,61247;0,62152;1;0
0,56413;0,20523;0,1503;0,27887;0,2574;0,28498;0,32933;0,39575;0,41530;0,22170;0,22785;0,29696;0,29199;0,31709;0,36550;0,65083;0,65843;0,60081;0,61247;1;0
0,55650;0,20604;0,2052;0,30208;0,2789;0,26724;0,28498;0,39395;0,39575;0,21896;0,22170;0,30852;0,29696;0,31644;0,31709;0,64350;0,65083;0,58610;0,60081;1;0
